Cycle,0.73340625
Average Width,6.77771116401
Width,,7.59960962476,7.46743530148,6.50851478058,6.72490429561,6.37492595327,6.6010439335,6.57803788074,6.4798449103,6.85509669102,7.39893418042,6.26655827741,7.03717214887,6.71470478107,6.52162632185,6.92757031714,7.09842205225,6.78539456789,6.54026328966,6.46674013175,6.24085660533,6.34056428073,6.35191041936,6.33881210902,6.27214465796,6.37476315753,6.80786990974,7.23365679499,7.20066330142,6.63793117857,7.55855548344,6.91803467157,7.10652922416,6.56553932479,6.91858553201,6.40793577836,6.72471035034,6.79131722045,6.30461031291,6.65254471788,6.8995722176,8.29225103662
Point0,H1,(14.0225853966 41),(14.1288576155 190),(11.6566587389 333),(13.7772881052 477),(12.3125868411 624),(11.9943020566 767),(12.7572813738 911),(11.4361410492 1058),(12.1607531248 1210),(14.4786454329 1358),(13.4046759417 1498),(15.1915618614 1635),(12.1346794393 1776),(13.0397034269 1918),(12.0213178111 2057),(13.1620722898 2199),(13.5905830579 2346),(12.9095627666 2498),(12.9190916046 2652),(11.2087935968 2804),(11.4646253624 2949),(12.6610129527 3098),(12.2864982678 3255),(11.3709529735 3413),(11.9745156529 3564),(11.5610478233 3715),(13.142233053 3873),(12.3914570218 4036),(12.845288825 4203),(15.1806268874 4367),(13.2973757331 4529),(12.189599761 4680),(13.2724776675 4824),(12.010311634 4970),(12.8815360483 5123),(13.0146693404 5283),(12.029891062 5445),(12.7117485872 5596),(13.4378526462 5747),(13.0245110746 5899),(9.90904017262 6058),
Point0,H2,(5.99124338762 65),(5.19237790651 218),(3.98016724568 362),(5.22618867743 505),(5.42717615926 653),,(5.31425981802 943),,(4.31607243005 1237),,(2.84997618872 1526),(5.97188609022 1666),,,,,(6.05275430755 2369),(5.6162209929 2527),(5.29212672347 2679),(3.05454331288 2830),,,,(4.08268438294 3439),(4.11678747297 3593),(2.13215678014 3744),(6.68945741067 3901),,(4.97138198488 4229),,,,,(4.53194658571 4998),(7.84027741333 5153),(6.38625733595 5311),(4.39382627972 5469),(4.37561093557 5624),,,
Point0,H3,(7.91094789588 90),(8.75277896385 239),(5.95454698562 382),(8.11038320438 528),(8.23603888583 675),,(6.30540180734 958),,(6.63505980718 1258),,(7.6118067251 1549),(7.45361737664 1682),,,,,(7.26379730358 2392),(7.37439965607 2547),(6.72695274562 2700),(6.03178089327 2851),,,,(6.68428094906 3462),(5.08050441545 3610),(4.78247200998 3767),(8.96653586389 3923),,(7.55538582442 4255),,,,,(4.79156027007 5018),(8.26007446373 5166),(7.58866868818 5327),(6.57684450469 5486),(6.67676179239 5648),,,
Point0,H4,(1.65893306018 140),(2.03488682485 284),(1.51876040783 424),(2.87339285978 570),(1.68760814331 715),(5.91312047774 799),(0.534776596531 1002),(3.64953453335 1086),(0.420423493195 1310),(4.24745049826 1389),(2.33548443906 1577),(3.45579097965 1718),(5.33102169104 1807),(6.03343363325 1945),(3.16630378936 2082),(4.5476110088 2223),(1.05721779769 2440),(1.10861338531 2604),(1.31998322128 2745),(1.8518606986 2887),(3.69043632547 2976),(6.06693163479 3122),,(-8.881784197e-16 3514),(0.873506891665 3657),(0.640631222833 3813),(2.81671272035 3979),(5.31028445556 4066),(-1.7763568394e-15 4311),(7.45049071815 4398),(4.82430517855 4559),(3.61951661427 4706),(5.47662077326 4848),(0.503526090833 5061),(1.54232235722 5222),(2.27017751428 5382),(1.07396409894 5546),(1.87947772949 5687),(7.57040901284 5776),,
Point0,H5,(1.73957984107 146),(2.06676842445 289),(1.68005525984 433),(2.90713802656 575),(1.767119594 722),(7.10592706716 817),(0.84622985107 1012),(5.87532325671 1106),(0.477219671979 1316),(5.85051156309 1406),(2.64858586684 1587),(3.62089955045 1726),(8.48003993467 1830),(7.99900649482 1966),(5.80159121052 2112),(7.75422443871 2246),(1.92314536191 2453),(1.19397503784 2611),(1.5739765501 2755),(1.98978044808 2895),(5.28474168834 2995),(7.2631299411 3148),,(1.0154454455 3527),(1.12646479255 3667),(1.95048519739 3829),(2.83539407751 3983),(7.06877485436 4086),(1.74716470159 4327),(10.5167968407 4425),(6.37562845235 4578),(6.55153644057 4730),(7.35468636318 4872),(1.9704586358 5077),(2.17757668468 5235),(3.04321010875 5395),(1.34879203568 5556),(2.40871271675 5699),(9.18638025738 5797),,
Point0,H6,(-4.4408920985e-15 162),(-8.881784197e-16 307),(-0.0051625747448 449),(4.4408920985e-15 596),(-2.6645352591e-15 739),(1.24344978758e-14 882),(-0.00968770635112 1026),(-0.00311138354212 1178),(-3.5527136788e-15 1327),(1.42108547152e-14 1464),(2.04281036531e-14 1605),(1.06581410364e-14 1748),(1.7763568394e-15 1890),(-2.6645352591e-15 2028),(2.6645352591e-15 2165),(-8.881784197e-16 2314),(-5.3290705182e-15 2468),(-4.4408920985e-15 2625),(-8.881784197e-16 2772),(-5.3290705182e-15 2916),(-0.0027782548133 3065),(-1.06581410364e-14 3221),(-3.10862446895e-15 3380),(-0.161548766931 3539),(-2.6645352591e-15 3682),(7.9936057773e-15 3844),(-2.6645352591e-15 4005),(2.6645352591e-15 4171),(-1.7763568394e-15 4311),(9.7699626167e-15 4501),(-0.00363877131584 4643),(1.33226762955e-15 4787),(8.881784197e-16 4939),(-9.7699626167e-15 5092),(-5.3290705182e-15 5252),(-5.3290705182e-15 5415),(1.7763568394e-15 5570),(-1.33226762955e-15 5716),(-1.68753899743e-14 5872),(-0.226270223192 5977),
Point1,H1,(15.5266669915 35),(15.6097347061 185),(14.6413144503 327),(16.5923970146 471),(14.8879887174 618),(14.6185669329 761),(15.3990799248 905),(13.8109853137 1052),(14.9355318131 1205),(16.8211434153 1352),(15.5954344916 1493),(17.2409579353 1629),(15.2607550237 1771),(15.724537246 1912),(14.1223385348 2052),(15.8846834562 2193),(16.215451973 2340),(15.7758563294 2492),(16.0725336951 2646),(14.0422238701 2799),(14.1388794622 2943),(16.2940981817 3093),(15.4138408206 3250),(14.4638209221 3408),(15.2154034455 3558),(14.4237582063 3710),(15.6729729582 3866),(14.8457008542 4030),(15.7029447075 4197),(17.2232423616 4362),(16.0907103763 4522),(14.474574279 4675),(16.513073318 4819),(15.5456640789 4964),(17.183328374 5117),(16.5392421908 5277),(15.3641032575 5439),(16.8228433911 5590),(16.7933098969 5740),(16.8243038343 5894),(13.106683382 6052),
Point1,H2,(5.87380950565 60),,,,(5.89734647295 647),,(6.26747605461 939),,(4.82481979745 1231),,(3.03357657703 1520),(6.40072888711 1659),,,,,(6.88435100228 2364),(6.61851061924 2522),(6.40904167593 2673),(4.00066201505 2825),,(6.11591645612 3117),(6.83118224861 3273),(4.38663222235 3434),(5.53977075452 3585),(3.26492722381 3738),(7.21565069375 3896),,(5.33283259352 4223),(7.58715764109 4392),,,(6.39739883224 4843),(6.22036667359 4990),(9.22059855494 5146),(7.94933550944 5305),(5.60154655711 5465),(5.64636073053 5617),,,
Point1,H3,(9.19397158543 85),,,,(9.18557678546 669),,(7.52531878809 956),,(7.13253874668 1254),,(7.74825480338 1545),(8.51823897863 1676),,,,,(8.26132630529 2390),(8.6537946409 2541),(8.55097291007 2694),(7.92362950657 2848),,(8.1861924506 3142),(9.43625174676 3292),(7.63154252707 3456),(6.8005018421 3605),(6.86272044393 3762),(9.56367552212 3918),,(7.56760772144 4248),(11.5345874072 4418),,,(8.61918528266 4863),(7.15794066693 5012),(10.2038189622 5160),(9.4342434925 5322),(8.69439188656 5484),(7.80508798382 5641),,,
Point1,H4,(2.30032555825 135),(5.59577127264 213),(5.00084333951 356),(6.13045576999 499),(1.69862411923 712),(6.18492421616 792),(1.44917957472 995),(4.21483414818 1080),(0.607218861211 1302),(4.49845654831 1384),(1.97407260345 1572),(3.10746549181 1712),(6.41734308001 1801),(6.24839582622 1940),(3.43635484513 2077),(5.31333587131 2219),(1.30820684666 2434),(1.162810984 2597),(1.75066812016 2740),(2.09805078134 2882),(4.48005899233 2970),(2.66040814688 3189),(1.81543965518 3347),(0.673002510941 3510),(1.48930623021 3652),(-0.130120388657 3808),(2.62734417803 3973),(5.93594310538 4060),(1.06581410364e-14 4306),(4.48182061382 4471),(5.68538785795 4553),(3.69449737312 4700),,(1.48190552047 5057),(2.26779674773 5216),(2.56666490169 5376),(1.43827735517 5544),(2.03708059854 5683),(8.4072041313 5768),,
Point1,H5,(2.30965603399 138),(9.6588024838 234),(6.90123118471 378),(9.41757445964 521),(1.73012603782 717),(8.11528145868 812),(1.6582022284 1004),(6.69920261528 1099),(0.773866664767 1310),(6.46719636145 1402),(2.51730574657 1583),(3.7161819746 1724),(9.60412175396 1823),(8.57729469872 1961),(6.88643903398 2103),(8.89174424528 2241),(2.28702909474 2447),(1.51074054013 2607),(2.17328824336 2750),(2.41554507638 2892),(6.85388358718 2989),(2.67690250542 3193),(2.34775950838 3359),(1.20323401238 3521),(1.90376107737 3662),(1.87776093919 3825),(2.76960266836 3981),(8.27154422888 4081),(1.49569480732 4321),(4.5102316091 4475),(7.933169554 4572),(7.88698387733 4724),,(2.7655666884 5072),(3.13529829062 5230),(3.3270605652 5390),(1.49213969812 5550),(2.97129038837 5695),(10.8170330514 5788),,
Point1,H6,(5.3290705182e-15 157),(1.42108547152e-14 301),(-0.00448767247968 443),(1.42108547152e-14 590),(1.95399252334e-14 733),(8.881784197e-15 877),(1.24344978758e-14 1021),(1.59872115546e-14 1172),(1.15463194561e-14 1322),(-0.00154731243721 1459),(-1.7763568394e-15 1599),(-2.6645352591e-15 1743),(-3.5527136788e-15 1884),(7.1054273576e-15 2023),(-2.6645352591e-15 2159),(-5.3290705182e-15 2306),(5.3290705182e-15 2463),(-3.5527136788e-15 2620),(2.04281036531e-14 2767),(1.42108547152e-14 2911),(1.42108547152e-14 3062),(4.4408920985e-15 3216),(-9.7699626167e-15 3376),(-0.00594264238738 3533),(2.6645352591e-15 3679),(-0.130120388657 3808),(-6.2172489379e-15 3999),(-5.3290705182e-15 4167),(1.06581410364e-14 4306),(8.881784197e-15 4496),(-0.00404038336691 4640),(6.2172489379e-15 4783),(-0.000159477736138 4932),(4.4408920985e-15 5087),(7.9936057773e-15 5247),(-0.000169299846193 5409),(-8.881784197e-16 5564),(-3.5527136788e-15 5711),(-1.06581410364e-14 5867),(-1.35564567224 6023),
Point2,H1,(16.5251561826 38),(17.0786317632 188),(15.3714355348 330),(18.4322035241 474),(16.6185328816 621),(16.292289856 763),(18.1556623484 907),(15.6112721668 1055),(15.9642886991 1208),(17.9623886181 1356),(17.8533346802 1496),(19.0059693604 1633),(18.7618225083 1772),(17.0816629701 1915),(15.1694994016 2055),(18.0885609741 2197),(18.4079163042 2343),(17.0016256811 2496),(17.438122642 2649),(16.0926795167 2801),(16.2816148241 2946),(18.1701489288 3096),(17.0753652096 3252),(16.9904273759 3410),(16.7602289188 3561),(15.9580985718 3713),(18.7361351871 3870),(17.3753676828 4033),(18.1990600465 4201),(19.8978952571 4364),(16.7256266932 4526),(17.2174105424 4678),(18.9878845449 4822),(17.6696847078 4968),(19.8591846188 5120),(19.0906543794 5280),(18.1118359088 5443),(18.5279042748 5593),(19.7523023929 5743),(19.2044834843 5897),(17.6512955654 6055),
Point2,H2,,(5.88720803805 218),(3.9017196064 360),(6.64514894044 502),(6.19140829746 651),(6.68031966913 793),(7.25961583163 942),,(5.16070518741 1234),,(3.79756564123 1523),(7.68695068244 1662),(6.88229251381 1805),,,(6.17464921233 2222),(7.13747398543 2368),(6.7259109668 2523),(6.27173786345 2677),(4.73758168352 2828),(5.08130518932 2973),(6.47783412524 3120),(7.22220567161 3277),(5.57360736592 3437),(5.70485974133 3591),(3.41358617258 3742),(8.85373397955 3900),,(6.60168470775 4227),,,,,(5.96941005927 4993),(9.96975884289 5149),(8.19356919476 5309),(5.35569051436 5469),(5.91096767271 5620),,,
Point2,H3,,(9.81760903889 240),(6.97166289915 382),(9.60135684925 523),(9.44328072434 672),(8.55796815968 813),(8.59124708013 958),,(7.382975135 1257),,(8.44249751913 1549),(10.3341259188 1680),(9.96195818918 1826),,,(8.86007387931 2243),(8.98112350025 2390),(8.68063475001 2539),(8.62895353254 2700),(8.52325972051 2848),(7.60406079291 2992),(9.07755774845 3146),(9.96554562136 3298),(8.3835724009 3458),(7.04014400407 3611),(7.55901834662 3765),(11.564173462 3921),,(9.53834891347 4250),,,,,(8.23552873546 5015),(11.1657875337 5164),(10.2660887712 5328),(9.2724535409 5491),(9.12918517604 5644),,,
Point2,H4,(5.84006644455 62),(2.33333055406 280),(1.70890013666 423),(3.72220012031 568),(2.06812596295 715),(3.23737300608 856),(1.7376556993 998),(4.81804095881 1083),(0.803756370975 1304),(4.63080016542 1387),(2.84955491751 1575),(4.25071803506 1714),(2.35767598503 1867),(6.09102886568 1944),(3.03289358817 2080),,(2.01512407705 2438),(1.51944812922 2600),(2.11420564992 2742),(3.09151261293 2885),(0.260799457599 3055),(2.85835324196 3190),(2.76560463603 3351),(0.753792134961 3513),(1.37122351985 3654),(0.888426417942 3812),(2.80067409359 3976),(6.44747245911 4063),(-1.59872115546e-14 4309),(7.84833789195 4395),(5.20184400238 4556),(4.69567165783 4702),(6.4289236052 4846),(2.13398277014 5060),(2.10107076304 5221),(2.78122973169 5382),(1.13479579812 5544),(3.15521716249 5685),(8.78974346553 5773),,
Point2,H5,(9.08150937373 87),(2.4108804565 287),(2.13915690409 433),(3.94521701281 576),(2.115091293 720),(3.31697913381 862),(2.35058950037 1009),(7.51532511926 1102),(0.988503490672 1313),(7.59172718837 1406),(3.57734296625 1586),(4.64756741936 1724),(2.39517350555 1871),(8.75035307724 1964),(7.76537037168 2107),,(2.8387870142 2450),(1.55185622716 2607),(2.50670912104 2753),(3.31400133049 2893),(0.261540774731 3056),(3.0019802979 3198),(2.89517590798 3359),(1.19628042839 3523),(1.88723028531 3666),(2.38803016112 3827),(2.89405544195 3983),(9.17800038278 4084),(1.7112771159 4325),(11.965009204 4421),(8.5131701056 4577),(8.92789626253 4727),(9.4919155832 4869),(3.05961809561 5073),(3.10976576425 5234),(3.19310748559 5392),(1.54404493491 5554),(4.18486269328 5697),(10.969961831 5793),,
Point2,H6,(-1.7763568394e-15 160),(5.3290705182e-15 304),(-5.3290705182e-15 448),(0.0 594),(1.33226762955e-14 736),(3.5527136788e-15 881),(-5.3290705182e-15 1025),(-1.59872115546e-14 1176),(2.6645352591e-15 1326),(-8.881784197e-16 1463),(7.1054273576e-15 1603),(1.06581410364e-14 1745),(1.7763568394e-15 1888),(-7.1054273576e-15 2027),(-6.2172489379e-15 2162),(-5.3290705182e-15 2309),(-6.2172489379e-15 2466),(-5.3290705182e-15 2623),(-9.7699626167e-15 2770),(-6.2172489379e-15 2914),(7.9936057773e-15 3066),(1.7763568394e-15 3219),(-5.3290705182e-15 3378),(-4.4408920985e-15 3535),(-3.5527136788e-15 3681),(-1.95399252334e-14 3841),(-1.68753899743e-14 4002),(-1.7763568394e-14 4170),(-1.59872115546e-14 4309),(-1.33226762955e-14 4498),(-1.7763568394e-14 4641),(-2.48689957516e-14 4787),(-1.59872115546e-14 4938),(-5.3290705182e-15 5089),(-8.881784197e-16 5250),(8.881784197e-16 5411),(-4.4408920985e-15 5567),(4.4408920985e-15 5714),(3.5527136788e-15 5871),(-1.226459306 6025),
Point3,H1,(13.5110635177 38),(13.7841090476 188),(12.5433752019 330),(14.8961255138 473),(12.8285371437 621),(13.0922022748 763),(14.4116696337 907),(12.231670554 1054),(13.35064001 1207),(15.121830329 1356),(13.0510265223 1495),(15.0780565926 1633),(15.6025816211 1773),(13.443206632 1915),(12.2814653633 2055),(15.2656951293 2196),(14.8624215518 2343),(13.5845283742 2495),(14.011030379 2649),(12.5489086272 2800),(12.7250536456 2946),(14.7574693965 3095),(13.550702171 3252),(13.4708705429 3410),(13.5236274427 3561),(13.4276346648 3713),(15.8325171559 3869),(14.7052909564 4033),(14.7198097887 4200),(16.6236418845 4363),(13.9126702033 4525),(14.3283301855 4677),(15.4384110479 4821),(15.4438207846 4967),(16.6593830086 5120),(16.092507203 5280),(15.4130906093 5443),(15.2903423018 5592),(16.2775244895 5742),(16.7205155682 5896),(16.8395674344 6055),
Point3,H2,(5.06922702241 60),,(3.3359322553 360),(5.17105413097 501),(4.81374593672 650),(5.28467206243 795),(5.99985039656 939),,,,(2.92229729911 1523),(6.29671507441 1664),,,,,(6.31601560847 2368),(5.26002492222 2522),(5.73459563345 2678),(3.20000973998 2828),(4.59507981011 2972),(5.6067933868 3120),(6.30542810992 3276),(5.0495497713 3437),(5.42254480566 3597),(2.43687955997 3741),,,(5.45375027154 4228),,,,,(5.86693150256 4993),(8.49550975613 5150),(7.37021502683 5308),(4.93980805466 5469),(4.79415583906 5621),(7.20453348204 5773),,
Point3,H3,(7.6832884731 85),,(6.10335933895 382),(7.71830204331 522),(7.87080269891 671),(6.75623225482 814),(7.01001779203 955),,,,(6.22346017315 1547),(7.69074567281 1680),,,,,(7.76456291525 2389),(7.10132112413 2540),(6.67320449589 2697),(6.67746520947 2850),(5.97639955206 2989),(7.02169666458 3146),(8.38703133195 3297),(7.33981320423 3459),(5.50953292887 3605),(6.69952975083 3766),,,(7.2565803402 4249),,,,,(7.50613690956 5015),(9.26820226829 5165),(8.82004282485 5326),(7.60306861283 5491),(7.65116820664 5643),(8.99984322701 5793),,
Point3,H4,(2.44718950611 134),(5.1568874503 217),(2.09038779799 421),(2.697488697 567),(1.46282947996 713),(2.62126975235 855),(0.94927533203 998),(3.99957706971 1084),(4.51964127876 1234),(4.3568155074 1388),(1.86299242022 1573),(3.41478005469 1712),(6.10374945766 1804),(5.47185832082 1944),(3.3827676096 2081),(5.64977011249 2221),(1.60157105935 2437),(0.708221040538 2597),(1.46805424938 2743),(2.15655664529 2882),,(2.2589009359 3188),(2.30037041026 3348),(0.5843375093 3517),(0.877179349927 3654),(-0.0176586257415 3810),(7.63222836652 3900),(5.65810684543 4062),(-7.1054273576e-15 4308),(6.82997895816 4396),(4.91599656838 4555),(4.15929620183 4703),(5.36692196229 4845),(2.46779920153 5059),(2.36669127009 5220),(2.183734328 5381),(0.963011292502 5541),(2.67453512377 5684),(1.46484294405 5851),,
Point3,H5,(2.48054107114 140),(8.48104505864 240),(2.34052459419 431),(3.02084052734 576),(1.6219316836 720),(2.65514780558 861),(1.63314923695 1010),(6.32284041347 1105),(6.63623385992 1256),(5.46720468721 1404),(2.66540776339 1585),(4.15696174431 1725),(8.66650432133 1825),(7.05592237771 1963),(6.40131999813 2108),(7.53056281705 2242),(2.0237047646 2448),(1.17254546268 2609),(1.61056318438 2752),(2.5363062979 2893),,(2.33018789874 3195),(2.60685673306 3359),(0.617824103755 3521),(1.41177706519 3666),(2.73494999123 3828),(9.75649710502 3921),(7.69002478412 4083),(1.1522471285 4323),(10.6361688554 4421),(7.55270123338 4576),(7.27699233664 4727),(7.86665002319 4870),(3.02796110199 5071),(2.95060013492 5232),(2.60632742136 5392),(1.29106816586 5552),(3.66295033878 5696),(1.49815378406 5855),,
Point3,H6,(8.881784197e-15 160),(-0.00627559199369 303),(-1.7763568394e-15 447),(2.6645352591e-15 594),(5.3290705182e-15 735),(1.24344978758e-14 880),(-0.00281690707342 1025),(-9.7699626167e-15 1177),(-1.7763568394e-15 1323),(-0.00287914044011 1462),(2.6645352591e-15 1602),(-4.4408920985e-15 1745),(-1.15463194561e-14 1887),(-4.4408920985e-16 2027),(-4.4408920985e-15 2162),(0.0 2310),(8.881784197e-16 2464),(-3.5527136788e-15 2622),(-5.3290705182e-15 2768),(-0.000118099817525 2914),(-3.5527136788e-15 3067),(-8.881784197e-15 3217),(-6.2172489379e-15 3378),(-0.0112447229188 3533),(6.2172489379e-15 3681),(-0.0176586257415 3810),(5.3290705182e-15 4001),(4.4408920985e-15 4169),(-7.1054273576e-15 4308),(-1.06581410364e-14 4497),(-5.3290705182e-15 4641),(-3.5527136788e-15 4785),(1.06581410364e-14 4937),(1.15463194561e-14 5089),(5.3290705182e-15 5249),(1.42108547152e-14 5411),(1.15463194561e-14 5566),(1.7763568394e-14 5714),(1.33226762955e-14 5870),(-0.00313320704692 6025),
